merchant_id,merchant_name,mcc_code,mcc_description,region,risk_tier,updated_at
1,Merchant 001,5812,Restaurants,US-WEST,HIGH,2026-08-02 00:00:00
2,Merchant 002,5411,Grocery Stores,US-WEST,HIGH,2026-09-10 00:00:00
3,Merchant 003,4511,Airlines,US-EAST,LOW,2026-08-02 00:00:00
4,Merchant 004,4511,Airlines,US-SOUTH,LOW,2026-08-02 00:00:00
5,Merchant 005,4899,Cable & Streaming,US-CENTRAL,LOW,2026-08-02 00:00:00
6,Merchant 006,5541,Service Stations,US-SOUTH,MEDIUM,2026-08-02 00:00:00
7,Merchant 007,7011,Lodging,US-EAST,LOW,2026-08-02 00:00:00
8,Merchant 008,5732,Electronics,US-EAST,HIGH,2026-09-10 00:00:00
9,Merchant 009,5999,Misc Retail,US-EAST,HIGH,2026-09-10 00:00:00
10,Merchant 010,5732,Electronics,US-CENTRAL,LOW,2026-08-02 00:00:00
11,Merchant 011,4899,Cable & Streaming,US-WEST,HIGH,2026-08-02 00:00:00
12,Merchant 012,5812,Restaurants,US-CENTRAL,MEDIUM,2026-08-02 00:00:00
13,Merchant 013,4511,Airlines,US-WEST,LOW,2026-08-02 00:00:00
14,Merchant 014,4511,Airlines,US-CENTRAL,LOW,2026-08-02 00:00:00
15,Merchant 015,4511,Airlines,US-EAST,MEDIUM,2026-09-10 00:00:00
16,Merchant 016,7011,Lodging,US-SOUTH,HIGH,2026-09-10 00:00:00
17,Merchant 017,5541,Service Stations,US-CENTRAL,MEDIUM,2026-08-02 00:00:00
18,Merchant 018,4511,Airlines,US-EAST,HIGH,2026-09-10 00:00:00
19,Merchant 019,5541,Service Stations,US-EAST,LOW,2026-08-02 00:00:00
20,Merchant 020,4899,Cable & Streaming,US-SOUTH,MEDIUM,2026-08-02 00:00:00
21,Merchant 021,4511,Airlines,US-CENTRAL,LOW,2026-08-02 00:00:00
22,Merchant 022,4511,Airlines,US-WEST,MEDIUM,2026-08-02 00:00:00
23,Merchant 023,5999,Misc Retail,US-CENTRAL,LOW,2026-08-02 00:00:00
24,Merchant 024,4511,Airlines,US-CENTRAL,LOW,2026-08-02 00:00:00
25,Merchant 025,4899,Cable & Streaming,US-SOUTH,HIGH,2026-08-02 00:00:00
26,Merchant 026,5541,Service Stations,US-CENTRAL,LOW,2026-08-02 00:00:00
27,Merchant 027,4511,Airlines,US-CENTRAL,HIGH,2026-08-02 00:00:00
28,Merchant 028,5999,Misc Retail,US-CENTRAL,LOW,2026-08-02 00:00:00
29,Merchant 029,5541,Service Stations,US-SOUTH,LOW,2026-08-02 00:00:00
30,Merchant 030,5411,Grocery Stores,US-WEST,LOW,2026-08-02 00:00:00
31,Merchant 031,5541,Service Stations,US-SOUTH,LOW,2026-08-02 00:00:00
32,Merchant 032,5999,Misc Retail,US-SOUTH,HIGH,2026-08-02 00:00:00
33,Merchant 033,7011,Lodging,US-WEST,LOW,2026-08-02 00:00:00
34,Merchant 034,7011,Lodging,US-CENTRAL,LOW,2026-08-02 00:00:00
35,Merchant 035,7011,Lodging,US-SOUTH,LOW,2026-08-02 00:00:00
36,Merchant 036,4899,Cable & Streaming,US-WEST,MEDIUM,2026-08-02 00:00:00
37,Merchant 037,5541,Service Stations,US-WEST,MEDIUM,2026-08-02 00:00:00
38,Merchant 038,4511,Airlines,US-EAST,MEDIUM,2026-08-02 00:00:00
39,Merchant 039,5541,Service Stations,US-WEST,MEDIUM,2026-08-02 00:00:00
40,Merchant 040,4899,Cable & Streaming,US-WEST,LOW,2026-08-02 00:00:00
41,Merchant 041,5732,Electronics,US-SOUTH,HIGH,2026-09-10 00:00:00
42,Merchant 042,5411,Grocery Stores,US-EAST,LOW,2026-08-02 00:00:00
43,Merchant 043,5812,Restaurants,US-SOUTH,LOW,2026-08-02 00:00:00
44,Merchant 044,5541,Service Stations,US-EAST,HIGH,2026-08-02 00:00:00
45,Merchant 045,5541,Service Stations,US-CENTRAL,HIGH,2026-08-02 00:00:00
46,Merchant 046,4511,Airlines,US-EAST,MEDIUM,2026-08-02 00:00:00
47,Merchant 047,5999,Misc Retail,US-CENTRAL,HIGH,2026-08-02 00:00:00
48,Merchant 048,4899,Cable & Streaming,US-EAST,HIGH,2026-09-10 00:00:00
49,Merchant 049,4511,Airlines,US-WEST,MEDIUM,2026-08-02 00:00:00
50,Merchant 050,5411,Grocery Stores,US-EAST,LOW,2026-08-02 00:00:00
51,Merchant 051,5411,Grocery Stores,US-WEST,LOW,2026-08-02 00:00:00
52,Merchant 052,4511,Airlines,US-WEST,LOW,2026-08-02 00:00:00
53,Merchant 053,5732,Electronics,US-WEST,LOW,2026-08-02 00:00:00
54,Merchant 054,7011,Lodging,US-SOUTH,LOW,2026-08-02 00:00:00
55,Merchant 055,5541,Service Stations,US-SOUTH,LOW,2026-08-02 00:00:00
56,Merchant 056,4899,Cable & Streaming,US-SOUTH,LOW,2026-08-02 00:00:00
57,Merchant 057,5812,Restaurants,US-WEST,HIGH,2026-08-02 00:00:00
58,Merchant 058,5732,Electronics,US-SOUTH,HIGH,2026-08-02 00:00:00
59,Merchant 059,4899,Cable & Streaming,US-WEST,LOW,2026-08-02 00:00:00
60,Merchant 060,5411,Grocery Stores,US-SOUTH,MEDIUM,2026-08-02 00:00:00
